,dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,rain.3h,sys.pod,snow.3h
0,1744210800,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",10000.0,0.2,2025-04-09 15:00:00,274.38,269.63,274.38,274.38,1004,1004,985,63,0.0,100,5.27,244,10.2,0.28,d,
1,1744221600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2025-04-09 18:00:00,273.39,268.46,271.41,273.39,1004,1004,985,68,1.98,100,5.13,217,12.22,,n,
2,1744232400,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2025-04-09 21:00:00,271.68,266.38,270.33,271.68,1004,1004,984,81,1.35,100,5.03,209,12.13,,n,
3,1744243200,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2025-04-10 00:00:00,270.42,265.05,270.42,270.42,1002,1002,983,89,0.0,100,4.64,198,11.81,,n,
4,1744254000,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",601.0,0.0,2025-04-10 03:00:00,270.45,265.19,270.45,270.45,1001,1001,982,94,0.0,100,4.49,185,11.4,,d,
5,1744264800,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",196.0,1.0,2025-04-10 06:00:00,275.18,270.96,275.18,275.18,1002,1002,982,96,0.0,100,4.66,182,10.21,,d,0.9
6,1744275600,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",391.0,1.0,2025-04-10 09:00:00,273.43,269.05,273.43,273.43,1002,1002,983,99,0.0,100,4.24,185,8.72,,d,0.94
7,1744286400,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",153.0,1.0,2025-04-10 12:00:00,274.15,270.33,274.15,274.15,1002,1002,983,100,0.0,100,3.66,189,7.45,,d,0.56
8,1744297200,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",23.0,1.0,2025-04-10 15:00:00,274.0,270.74,274.0,274.0,1003,1003,984,100,0.0,100,2.92,188,6.76,,d,0.56
9,1744308000,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13n'}]",317.0,1.0,2025-04-10 18:00:00,273.74,270.55,273.74,273.74,1004,1004,985,99,0.0,100,2.79,202,6.29,,n,0.23
10,1744318800,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",10000.0,0.0,2025-04-10 21:00:00,273.81,271.44,273.81,273.81,1005,1005,985,92,0.0,100,2.02,231,3.74,,n,
11,1744329600,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",7366.0,0.0,2025-04-11 00:00:00,273.46,273.46,273.46,273.46,1005,1005,986,98,0.0,100,1.08,248,2.67,,n,
12,1744340400,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",808.0,0.2,2025-04-11 03:00:00,273.21,273.21,273.21,273.21,1005,1005,986,98,0.0,100,0.57,10,1.17,,d,0.2
13,1744351200,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",895.0,0.2,2025-04-11 06:00:00,273.61,273.61,273.61,273.61,1006,1006,987,97,0.0,100,0.45,208,1.36,,d,0.2
14,1744362000,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",8753.0,0.2,2025-04-11 09:00:00,275.3,275.3,275.3,275.3,1006,1006,987,83,0.0,98,1.3,251,2.06,,d,0.19
15,1744372800,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",10000.0,0.2,2025-04-11 12:00:00,276.07,273.97,276.07,276.07,1006,1006,987,75,0.0,98,2.11,248,3.21,,d,0.16
16,1744383600,"[{'id': 600, 'main': 'Snow', 'description': 'light snow', 'icon': '13d'}]",10000.0,0.2,2025-04-11 15:00:00,276.1,272.85,276.1,276.1,1006,1006,987,72,0.0,100,3.46,244,5.93,,d,0.1
